Player,Position,TEAM,GP,MIN,PTS,FG%,3P%,FT%,AST,BLK,STL,REB,TOV,Salary
Draymond Green,PF,GSW,43,1222,345,38.9,27.9,75.9,266,33,59,266,98,18539130
Gary Harris,SG,DEN,56,1780,581,42,33.3,81.5,118,14,76,163,60,17839286
Derrick Favors,PF,NOP,45,1089,415,62,14.3,58.1,75,44,25,445,51,17650000
Andre Iguodala,SF,MIA,14,259,61,49,37.5,25,28,16,8,53,17,17185185
Evan Fournier,SF,ORL,61,1931,1149,47,40.6,82,193,14,70,157,120,17150000
Bismack Biyombo,C,CHA,53,1029,393,54.3,0,60.3,50,49,10,308,48,17000000
Bojan Bogdanovic,SF,UTA,63,2083,1275,44.7,41.4,90.3,131,7,34,259,159,17000000
Gorgui Dieng,C,MIN,46,778,341,44.8,38.3,79.7,58,42,37,256,44,16229213
Brandon Knight,PG,CLE,16,241,79,32.6,29.7,30.8,31,2,5,20,16,15643750
Eric Bledsoe,PG,MIL,56,1524,865,48.2,34.8,81.3,302,25,53,259,140,15625000
Ian Mahinmi,C,WAS,38,808,283,49.5,19.2,61.9,49,44,31,218,45,15450051
James Johnson,PF,MIA,18,281,102,44.8,35.6,57.1,21,13,6,52,15,15349400
Clint Capela,C,HOU,39,1279,543,62.9,0,52.9,48,72,33,537,63,14896552
Danny Green,SG,LAL,61,1529,501,41.9,37.8,72.7,86,29,76,206,54,14634146
Rudy Gay,SF,SAS,60,1287,601,44.2,31.4,87.6,101,28,26,322,78,14500000
Eric Gordon,SG,HOU,34,972,494,37,31.9,75.7,52,12,22,65,36,14057730
Jordan Clarkson,PG,CLE,29,666,423,44.2,37.1,88.4,70,8,17,69,39,13437500
Dewayne Dedmon,C,SAC,34,541,175,40.4,19.7,82.1,15,26,15,167,47,13333333
Will Barton,SG,DEN,58,1916,874,45,37.5,76.7,212,29,61,365,88,12776786
Courtney Lee,SG,DAL,24,345,107,48.8,44.7,85.7,12,6,18,32,11,12759670
Solomon Hill,SF,MEM,48,901,274,41.2,38.1,68.4,94,7,31,144,40,12758781
